YEAR MO DY HR MN   Hs   Tp   Dp    Depth   Ta    Pres   Wspd Wdir Temp   Temp  Cspd Cdir P
      UTC           m   sec  deg     m     sec    mB     m/s  deg Air(C) Sfc(C) m/s deg  f
2008 08 13 06 24  0.84  5.88  50           4.30                           29.0           1
2008 08 13 06 54  0.83  5.56  42           4.34                           29.0           1
2008 08 13 07 24  0.85  5.56  49           4.32                           29.1           1
2008 08 13 07 54  0.79  5.56  46           4.27                           29.0           1
2008 08 13 08 24  0.78  5.56  45           4.40                           29.0           1
2008 08 13 08 54  0.76  5.56  46           4.50                           29.0           1
2008 08 13 09 24  0.76  5.26  47           4.50                           29.0           1
2008 08 13 10 54  0.66  5.26  45           4.08                                          1
2008 08 13 11 24  0.70  5.88  45           4.22                           29.0           1
2008 08 13 11 54  0.71  5.56  45           4.32                           29.0           1
2008 08 13 12 24  0.71  5.26  45           4.38                           29.0           1
2008 08 13 12 54  0.72  5.56  42           4.18                           29.0           1
2008 08 13 13 24  0.68  5.00  42           4.22                           29.0           1
2008 08 13 13 54  0.72  5.56  42           4.28                           29.0           1
2008 08 13 14 24  0.72  5.00  46           4.16                           29.1           1
2008 08 13 14 54  0.75  5.56  47           4.15                           29.1           1
2008 08 13 15 24  0.76  8.33  52           4.31                           29.1           1
2008 08 13 15 54  0.74  5.88  50           4.00                           29.2           1
2008 08 13 16 24  0.74  8.33  53           4.03                           29.2           1
2008 08 13 16 54  0.70  8.33  52           3.96                           29.2           1
2008 08 13 17 24  0.65  8.33  53           4.03                           29.2           1
2008 08 13 17 54  0.67  7.14  49           4.12                           29.2           1
2008 08 13 18 24  0.76  7.69  53           4.04                           29.2           1
2008 08 13 18 54  0.76  5.88  47           4.07                           29.2           1
2008 08 13 19 24  0.75  5.88  46           4.01                           29.1           1
2008 08 13 19 54  0.80  8.33  49           4.03                           29.1           1
2008 08 13 20 24  0.80  8.33  52           3.94                           29.2           1
2008 08 13 20 54  0.89  7.69  50           4.19                           29.1           1
2008 08 13 21 24  0.93  8.33  52           4.07                           29.1           1
2008 08 13 21 54  0.97  8.33  52           4.12                           29.1           1
2008 08 13 22 24  1.04  5.56  49           4.06                           29.0           1
2008 08 13 22 54  1.05  5.88  47           4.14                           29.1           1
2008 08 13 23 24  1.05  5.88  45           4.19                           29.1           1
2008 08 13 23 54  1.06  5.88  46           4.21                           29.0           1
2008 08 14 00 24  1.11  4.76  43           4.29                           29.0           1
2008 08 14 00 54  1.09  5.56  43           4.22                           29.0           1
2008 08 14 01 24  1.20  5.00  43           4.36                           29.0           1
2008 08 14 01 54  1.16  4.76  45           4.07                           29.1           1
2008 08 14 02 24  1.24  4.55  32           4.30                           29.1           1
2008 08 14 02 54  1.20  5.88  46           4.26                           29.1           1
2008 08 14 03 24  1.00  5.56  45           4.23                           29.0           1
2008 08 14 03 54  1.09  5.56  47           4.37                           29.1           1
2008 08 14 04 24  1.13  5.00  47           4.48                           29.1           1
2008 08 14 04 54  1.09  5.26  45           4.49                           29.0           1
2008 08 14 05 24  0.94  5.88  49           4.42                           29.0           1
2008 08 14 05 54  0.98  5.88  47           4.22                           29.1           1
2008 08 14 06 24  0.93  5.88  45           4.48                           29.0           1
2008 08 14 06 54  0.99  5.88  50           4.71                           29.0           1
2008 08 14 07 24  1.00  5.56  46           4.54                           29.1           1
2008 08 14 07 54  0.91  9.09  52           4.59                           29.1           1
2008 08 14 08 24  0.89  5.26  40           3.99                           29.2           1
2008 08 14 08 54  0.92  6.67  47           4.21                           29.1           1
2008 08 14 09 24  0.88  5.26  46           4.30                           29.1           1
2008 08 14 09 54  0.85  6.25  46           4.30                           29.1           1
2008 08 14 10 24  0.91  5.26  42           4.43                           29.1           1
2008 08 14 10 54  0.90  5.88  45           4.32                           29.1           1
2008 08 14 11 24  0.82  6.25  42           4.26                           29.0           1
2008 08 14 11 54  0.89  5.56  39           4.45                           29.0           1
2008 08 14 12 24  0.93  6.25  42           4.46                           29.0           1
2008 08 14 12 54  0.91  5.56  45           4.37                           29.0           1
2008 08 14 13 24  0.92  6.67  45           4.37                           29.0           1
2008 08 14 13 54  0.92  6.67  47           4.40                           29.0           1
2008 08 14 14 24  0.83  5.88  43           4.46                           29.0           1
2008 08 14 14 54  0.86  6.67  49           4.67                           29.2           1
2008 08 14 15 24  0.88  9.09  49           4.73                           29.2           1
